Reference Number,Date Entered,Concern Address,Disposition,Concern Type,Concern Description,Citation Fine Total,Balance Remaining
RAC-2021-00611,5/17/2021,381 FALLEN LEAF RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated she could hear the occupants talking loudly on the rear deck and could hear music.,0,0
RAC-2021-00252,3/20/2021,381 OLYMPIC DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,On street parking,0,0
RAC-2021-01405,8/1/2021,381 OLYMPIC DR,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,7 cars,0,0
RAC-2021-00079,2/17/2021,382 FELDSTRASSE DR,No Issue,Vacation Rental No Licence,RP says the house has started renting again.  No license.  Last contact with owner - owner said not renting for less than 6 weeks at a time.,0,0
RAC-2021-00604,5/16/2021,383 CATALINA RD,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,R/P stated the occupants are in the spa and playing loud music.,0,0
RAC-2021-01522,8/14/2021,383 CATALINA RD,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,10:06 pm - RP states spa party with disco type ball lights,0,0
RAC-2021-00746,6/4/2021,383 CATALINA RD,No Issue,Vacation Rental Spa after 10pm,"R/P stated the occupants were in the spa talking loud and laughing. He understood they had until 10;00pm, but he was concerned they would not be out of the spa by 10;00pm.",0,0
RAC-2021-00217,3/12/2021,387 EUREKA DR,No Issue,Vacation Rental Over Occupancy,"I think they may be over occupancy,  there`s a teepee pitched in backyard that people slept in last night
They were making noise in teepee last night just before midnight and I had to tell them to quiet down. 
I took a picture of it this morning and there were people rustling around in it getting up",0,0
RAC-2021-00755,6/5/2021,38795 WATERVIEW DR,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,noise and a lot of people.,0,0
RAC-2021-00928,6/26/2021,38838 WATERVIEW DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"6/26/21
A call came in at about 12:27am about a loud party happening next door.",0,0
RAC-2021-00010,2/3/2021,39036 WILLOW LANDING,No Issue,Vacation Rental Parking,Parking in street,0,0
RAC-2021-01343,7/26/2021,39036 WILLOW LANDING RD,No Issue,Vacation Rental Noise/Party,Call came in at 6:30PM about a possible vacation rental playing music so loud it was shaking their wall.,0,0
RAC-2021-00088,2/18/2021,39050 WILLOW LANDING,Issued Citation,Vacation Rental No License,No license. Expired months ago and owner has refused multiple attempts to schedule an inspection. Need to issue citation. 3/3/21 Owner is now in process.,5500,5000
RAC-2021-00556,5/8/2021,39050 WILLOW LANDING RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-00730,6/1/2021,39050 WILLOW LANDING RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were on the deck playing loud music and talking loud.,0,0
RAC-2021-00732,6/1/2021,39050 WILLOW LANDING RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were playing loud music inside the residence.,0,0
RAC-2021-01587,8/21/2021,39051 WILLOW LANDING RD,No Issue,Vacation Rental Noise/Party,COMPLAINTANT STATES LARGE GROUP OF PEOPLE PLAYING FOORBALL IN STREET/ AMPLIFIED MUSIC.,0,0
RAC-2021-00246,3/19/2021,39064 BAYVIEW LN,Issued Citation,Vacation Rental Parking,Parking in street,750,750
RAC-2021-00695,5/29/2021,39154 N BAY DR,No Issue,Vacation Rental Parking,R/P stated there is 7 cars at the residence and they are only allowed 3 cars.,0,0
RAC-2021-01267,7/22/2021,39188 CHINCAPIN RD,Issued Citation,Vacation Rental Noise/Party,call came in about amplified music at a vacation rental.,500,500
RAC-2021-01140,7/11/2021,39188 CHINCAPIN RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,voice mail/ rp states over parking/ rp request call back from responding officer.,0,0
RAC-2021-00662,5/23/2021,39241 WATERVIEW DR,Issued Citation,Vacation Rental Noise/Party,call came in about noise and partying.,500,500
RAC-2021-01269,7/23/2021,39241 WATERVIEW DR,Issued Citation,Vacation Rental Noise/Party,call came in at about 11:46 pm about loud music coming from a vacation rental,1500,1500
RAC-2021-00102,2/19/2021,39241 WATERVIEW DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants are in the backyard playing loud music and talking loud.,0,0
RAC-2021-00718,5/31/2021,39241 WATERVIEW DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"R/P stated there is a `raging party` at the residence with loud music and yelling,",0,0
RAC-2021-01501,8/13/2021,39241 WATERVIEW DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,10:13 pm - noise,0,0
RAC-2021-00325,4/1/2021,39272 WATERVIEW DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Party on rear deck out of control,0,0
RAC-2021-00644,5/21/2021,39272 WATERVIEW DR,No Issue,Vacation Rental Over Occupancy,A call came in about a vacation rental being over occupied.,0,0
RAC-2021-00067,2/13/2021,39273 PEAK LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"R/P stated there was a party with loud music at the residence. He stated he decided to see if it would stop by 2:00am. After it continued, he called in the complaint at 2:30am.",0,0
RAC-2021-00443,4/18/2021,39327 WILLOW LANDING BLVD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,NOISE,0,0
RAC-2021-00821,6/13/2021,39328 BIG BEAR BLVD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-00455,4/20/2021,39357 AURORA RD,Issued Citation,Vacation Rental No Licence,"Owner registered after contact, but still hasn`t completed inspection process and is renting the property.  Also listed as `Self Check-In`.",8000,0
RAC-2021-00043,2/7/2021,39357 AURORA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Complaint of hot tub use - 11:58 pm on 2/6/21,0,0
RAC-2021-00066,2/13/2021,39357 AURORA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,while on patrol I received a call about guests in the spa after 10pm.,0,0
RAC-2021-00033,2/6/2021,39360 MOAB LN,No Issue,Vacation Rental Noise/Party,,0,0
RAC-2021-00338,4/2/2021,39401 WILLOW LANDING,Issued Citation,Vacation Rental Delinquent TOT,Previous owner didn`t pay TOTs,1528.22,1528.22
RAC-2021-00923,6/25/2021,39445 LAKE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,amplified music.,0,0
RAC-2021-01537,8/15/2021,39445 LAKE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in about music and noise coming from a vacation rental.,0,0
RAC-2021-01631,8/25/2021,39445 LAKE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,8:13PM Call about noise at her neighboring VHR.,0,0
RAC-2021-01513,8/14/2021,39447 LAKE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Noise from party going on on the deck,0,0
RAC-2021-01504,8/14/2021,39447 LAKE DR,No Issue,Vacation Rental Noise/Party,12:00 am - RP states party going on since about 5 p.m. - flag lot,0,0
RAC-2021-01692,8/29/2021,39456 LAKE DR,Issued Citation,Vacation Rental Noise/Party,Amplified music heard at property line,500,500
RAC-2021-01107,7/9/2021,39470 LAKE DR,Issued Citation,Vacation Rental Advertising without a License,RP states she received a post card in the mail from a company out of state called Modern Vacay picturing a house a this address for short term rental and believes it is not registered. She sees people coming and going regularly and new people arrived this evening.,1000,1000
RAC-2021-01114,7/10/2021,39470 LAKE DR,No Issue,Vacation Rental Over Occupancy,"SO states property owner called them regarding over occupancy in his VR.
SO requests code checks occupancy tonight.",0,0
RAC-2021-01163,7/14/2021,39470 LAKE DR,No Issue,Vacation Rental Noise/Party,party.,0,0
RAC-2021-01341,7/26/2021,39470 LAKE DR,No Issue,Vacation Rental No Exterior Sign,RP states no sign on property,0,0
RAC-2021-01508,8/14/2021,39488 FOREST RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,12:00 a.m. - called in as 39447 Lake - loud party.  Officer found it to be at 39488 Forest,0,0
RAC-2021-00300,3/28/2021,39526 LAKE DR,Issued Citation,Vacation Rental Noise/Party,while patrolling the lake dr block I heard amplified music being played outside near the hot tub of the private home rental.,1000,500
RAC-2021-00607,5/16/2021,39567 FOREST RD,No Issue,Vacation Rental Noise/Party,barking dog,0,0
RAC-2021-00704,5/30/2021,39567 FOREST RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants left a dog unattended in the residence and the dog has been barking non stop.,0,0
RAC-2021-00745,6/3/2021,39583 LAKE DR,No Issue,Vacation Rental Noise/Party,R/P stated the occupant`s dog has been barking the last few days.,0,0
RAC-2021-00475,4/24/2021,39588 FOREST RD,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,A call came in requesting assistance with a short term rental eviction.,0,0
RAC-2021-00087,2/18/2021,39639 FOREST RD,Issued Citation,Vacation Rental Delinquent TOT,Has not remitted TOT-extremely delinquent. Operating without a license.,10625,0
RAC-2021-01296,7/24/2021,39639 FOREST RD,No Issue,Vacation Rental Over Occupancy,Call came in at 3:43PM about many cars parked in the driveway and potential over occupancy.,0,0
RAC-2021-01594,8/21/2021,39645 LAKE DR,Issued Citation,Vacation Rental Parking,parking in neighbors driveway.,500,500
RAC-2021-00386,4/10/2021,39663 LAKE DR,Issued Citation,Vacation Rental Noise/Party,Call came in at 12 am about amplified music at a PHR.,500,0
RAC-2021-00872,6/19/2021,397 CANVASBACK RD,Issued Citation,Vacation Rental Noise/Party,kids screamimg/ blaring tv,500,0
RAC-2021-01528,8/15/2021,39733 FOREST RD,No Issue,Vacation Rental Noise/Party,8:32 am/ complaint barking dog.,0,0
RAC-2021-00630,5/21/2021,39748 FOREST RD,Issued Citation,Vacation Rental No License,,7500,0
RAC-2021-01249,7/20/2021,39748 FOREST RD,Issued Citation,Vacation Rental Noise/Party,MUSIC/ YELLING,17000,0
RAC-2021-00924,6/25/2021,39756 FOREST RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,4 cars parked in street.,0,0
RAC-2021-00356,4/4/2021,39832 LAKEVIEW DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,call came in about a car parked on the street at a vacation rental,0,0
RAC-2021-01591,8/21/2021,39863 FOREST RD,Issued Citation,Vacation Rental No Licence,Doing a cursory search for illegal rentals this rental showed that they were pending first inspection Will confirm with Sara.,7500,7500
RAC-2021-00190,3/6/2021,39880 LAKEVIEW DR,Issued Citation,Vacation Rental Noise/Party,"Call came in at 11:22 pm.  RP says renters playing music so loud, keeping him awake.",500,0
RAC-2021-00938,6/26/2021,399 STARLIGHT CIR,Issues Resolved With Verbal Warning,Vacation Rental Parking,parked in street.,0,0
RAC-2021-00705,5/30/2021,399 STARLIGHT CIR,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were playing loud music and talking loud.,0,0
RAC-2021-00439,4/17/2021,39934 FOREST DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Call came in at 12:15 a private home rental parking on the dirt.,0,0
RAC-2021-00881,6/19/2021,39994 FOREST RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,noise,0,0
RAC-2021-01044,7/4/2021,39994 FOREST RD,No Issue,Vacation Rental Noise/Party,8:42 pm - RP states music and loud people,0,0
RAC-2021-01342,7/26/2021,39994 FOREST RD,No Issue,Vacation Rental Parking,RP states parking on her property (based on recent survey of property),0,0
RAC-2021-01351,7/27/2021,39994 FOREST RD,No Issue,Vacation Rental Noise/Party,Call came in at 7:07 concerning a vacation rental playing amplified music.,0,0
RAC-2021-00921,6/25/2021,400 JEFFRIES ST,Issued Citation,Vacation Rental Noise/Party,large group and high volume music,100,0
RAC-2021-00054,2/9/2021,40013 TRAIL OF THE WHISPER RD,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,Please assist with a eviction.,0,0
RAC-2021-00124,2/24/2021,40055 HILLCREST DR,No Issue,Vacation Rental Parking,5 cars - 1 parked on street,0,0
RAC-2021-00334,4/2/2021,40057 HIGHLAND RD,Issued Citation,Vacation Rental Delinquent TOT,Previous owner didn`t pay taxes owed.,2034.67,0
RAC-2021-00140,2/27/2021,40087 FOREST BLVD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,received a call at 2:34 am about noise at 40088 forest but there is no such address the closest address to that was 40087 rd.,0,-1000
RAC-2021-00912,6/23/2021,40090 LAKEVIEW CT,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states children outside and screaming on 6/23 at 12:15 am.,0,0
RAC-2021-01677,8/28/2021,40155 MILL CREEK RD,No Issue,Vacation Rental Over Occupancy,RP states VR overoccupancy people/cars/kids,0,0
RAC-2021-01662,8/28/2021,40155 MILL CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,neighbor at 40169 states subject property parked boat an truck in his driveway.,0,0
RAC-2021-00592,5/14/2021,40167 ESTERLY LN,Issued Citation,Vacation Rental No Licence,vacation rental no license,8000,8000
RAC-2021-01680,8/28/2021,40205 LAKEVIEW DR,Issued Citation,Vacation Rental Noise/Party,RP states loud party,500,500
RAC-2021-01517,8/14/2021,40218 ESTERLY LN,Issued Citation,Vacation Rental Noise/Party,call came in about a noise and amplified music at a private home rental.,1000,1000
RAC-2021-00759,6/5/2021,40218 ESTERLY LN,Issues Resolved With Verbal Warning,Vacation Rental No License,non stop barking dog/possible non lic rental.,0,0
RAC-2021-01564,8/20/2021,40218 ESTERLY LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states dogs barking incessantly at VR,0,0
RAC-2021-01164,7/14/2021,40218 ESTERLY LN,No Issue,Vacation Rental No In-person Check-in,RP notes that owner is advertising self check-in,0,0
RAC-2021-00631,5/21/2021,40218 LAKEVIEW DR,Issued Citation,Vacation Rental No License,,7500,0
RAC-2021-00633,5/21/2021,40224 MAHANOY LN,Issued Citation,Vacation Rental No License,,7500,0
RAC-2021-00866,6/19/2021,40229 MAHANOY LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,kids yelling,0,0
RAC-2021-00024,2/6/2021,40229 MAHANOY LN,No Issue,Vacation Rental Noise/Party,Occupants of PHR playing loud music disturbing surrounding neighbors.,0,0
RAC-2021-00830,6/14/2021,40229 MAHANOY LN,No Issue,Vacation Rental Noise/Party,high volume music.,0,0
RAC-2021-00729,5/31/2021,40230 BONITA LN,No Issue,Vacation Rental Over Occupancy,R/P stated the residence is over occupied.,0,0
RAC-2021-00005,2/1/2021,403 EUREKA DR,No Issue,Vacation Rental Over Occupancy,There are more than 5 people in house. Cars parked in yard and not in the driveway. Please verify number of occupants.,0,0
RAC-2021-01582,8/21/2021,40565 BIG BEAR BLVD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Noise,0,0
RAC-2021-00768,6/6/2021,40587 SIMONDS DR,Issued Citation,Vacation Rental No License,,2500,0
RAC-2021-01311,7/25/2021,40588 IRONWOOD DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,RP reports parking on street at noise,0,0
RAC-2021-01689,8/29/2021,406 QUAIL DR,Issued Citation,Vacation Rental Noise/Party,barking howling dog since 8 this morning.,0,0
RAC-2021-01690,8/29/2021,406 QUAIL DR,Issued Citation,Vacation Rental Noise/Party,barking howling dog. Duplicate 01689,600,600
RAC-2021-01609,8/22/2021,40611 VILLAGE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,SO requested if we could follow up with a large gathering he shut down at the Elks Lodge,0,0
RAC-2021-00495,4/28/2021,40645 VILLAGE DR,Issued Citation,Vacation Rental No Licence,Advertising on Airbnb and Facebook but not registered.,8000,8000
RAC-2021-01139,7/11/2021,40703 BEAVER LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Fist fighting in street.,0,0
RAC-2021-00352,4/3/2021,40742 CHERRY LN,Issued Citation,Vacation Rental Noise/Party,call came in at about 6:40pm about loud music being played,500,500
RAC-2021-00358,4/4/2021,40742 CHERRY LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants have loud music playing.,0,0
RAC-2021-01196,7/17/2021,40742 CHERRY LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states VR noise/yelling/screaming/music,0,0
RAC-2021-01319,7/25/2021,41085 PENNSYLVANIA AVE,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP gave his address said party was across the street unable to locate address at location.,0,0
RAC-2021-01527,8/15/2021,41223 TERRAPIN RD,No Issue,Vacation Rental Noise/Party,Assistance.,0,0
RAC-2021-01263,7/22/2021,41253 LAHONTAN DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,VHR amplified music noise. RP states address is his does not know address where noise is coming from but we will hear it when we get there.,0,0
RAC-2021-00264,3/21/2021,413 TENNESSE,No Issue,Vacation Rental Parking,call came in about vehicles parked on street at a 413 tennesse,0,0
RAC-2021-00297,3/27/2021,413 TENNESSE,No Issue,Vacation Rental No Licence,call came in about an unregistered rental,0,0
RAC-2021-00137,2/27/2021,414 QUAIL DR,Issued Citation,Vacation Rental Noise/Party,I received a noise complaint at 1:16 am,8000,0
RAC-2021-00793,6/11/2021,414 QUAIL DR,Issued Citation,Vacation Rental Spa after 10pm,call came in for a noise complaint.,500,500
RAC-2021-00032,2/6/2021,414 QUAIL DR,No Issue,Vacation Rental Noise/Party,,0,0
RAC-2021-01489,8/11/2021,414 SHADY LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in about a live band at a private home rental.,0,0
RAC-2021-01515,8/14/2021,414 SHADY LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"7:21 pm - RP states loud music, maybe a live band playing.",0,0
RAC-2021-00241,3/18/2021,414 TENNESSEE,Issued Citation,Vacation Rental Noise/Party,R/P stated the occupants are on the backyard deck talking loud and yelling.,1000,0
RAC-2021-00238,3/17/2021,414 TENNESSEE,Issues Resolved With Verbal Warning,Vacation Rental Parking,Only 2 cars allowed (per RP) - they have 3 and one may be blocking/parked in his driveway.,0,0
RAC-2021-00237,3/17/2021,41445 COMSTOCK LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Loud party in hot tub.  It`s Tuesday and my kids have school,0,0
RAC-2021-00103,2/20/2021,41463 COMSTOCK LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,A lot of loud people in the hot tub,0,0
RAC-2021-00225,3/13/2021,41519 PARK,Issues Resolved With Verbal Warning,Vacation Rental Parking,"GMC van parked off paved surface. This is a recurring problem with this rental.
I have reported this violation before.",0,0
RAC-2021-00319,3/30/2021,41519 PARK,No Issue,Vacation Rental Parking,White car parked on unpaved area,0,0
RAC-2021-01103,7/9/2021,41570 SWAN DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Loud music spa use noise,0,0
RAC-2021-01337,7/26/2021,41570 SWAN DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling and hot tub use.,0,0
RAC-2021-00870,6/19/2021,41604 HUMMINGBIRD LN,Issued Citation,Vacation Rental Noise/Party,noise/yelling/street parking,1000,1000
RAC-2021-00245,3/19/2021,41604 HUMMINGBIRD LN,No Issue,Vacation Rental Parking,STR street parking. 3 rentals on this street. Not sure which address is valid.,0,0
RAC-2021-01566,8/20/2021,41605 HUMMINGBIRD LN,Issued NOV,Vacation Rental No Exterior Sign,unable to see sign from street,0,0
RAC-2021-01529,8/15/2021,41616 HUMMINGBIRD LN,Issued Citation,Vacation Rental Parking,Parking on street.,1000,1000
RAC-2021-00223,3/13/2021,41618 PARK AVE,Issued Citation,Vacation Rental Parking,"White truck parked off driveway. This is a recurring issue.
I have reported this property before",0,0
RAC-2021-00218,3/12/2021,41637 MOCKINGBIRD DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Address is 41640 Mockingbird Drive. The app would not let me select that address. Cars parked in street/yard and not in designated driveway.,0,0
RAC-2021-01157,7/13/2021,41640 MOCKINGBIRD DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,STR with guest parking in front yard.,0,0
RAC-2021-00046,2/8/2021,41652 MOCKINGBIRD DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"RP is complaining of loud noise, voices, etc.

I inspected house from the P.R.O.W., did not hear any loud noise or any disturbance from backyard / spa area. I knocked and spoke with the Adult renters, husband and wife. They understand and will be happy to keep it quiet.",0,0
RAC-2021-00044,2/7/2021,41652 MOCKINGBIRD DR,No Issue,Vacation Rental Noise/Party,Call came in at 2:15 a.m. on 2/7/21.  noise of party - had the same complaint last night but didn`t call,0,0
RAC-2021-00473,4/24/2021,41686 TANAGER DR,Issued Citation,Vacation Rental Parking,Address is 41686 Tanager Drive. Rental street parking. I reported this STR parking violation yesterday & rcvd update status from code officer Douglas Craig that renter advised of no street parking. Renter moved car but told Officer Craig that additional car would be arriving. Renter was told that additional car(s) would need to park in garage or use downtown public parking. Email stated to please advise if additional issues. Same car parked on street this morning. Code knew renters would have 5 cars instead of the allowed 4. Did code go back at a later time to make sure parking rules were followed?? I’m guessing no!,500,0
RAC-2021-00466,4/23/2021,41686 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Address is 41686 Tanager Drive. App will not let me select 41686 Tanager Drive! Street parking at vacation rental.,0,0
RAC-2021-00995,7/2/2021,41686 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,"Car, truck and boat trailer parked on street in front of rental and in front of house next door to rental.",0,0
RAC-2021-00110,2/20/2021,41686 TANAGER DR,No Issue,Vacation Rental Parking,Street parking at rental.,0,0
RAC-2021-00474,4/24/2021,41686 TANAGER DR,No Issue,Vacation Rental Over Occupancy,Address is 41732 Tanager Drive. 7 cars parked at this rental. Vacation rental sign posted allows 5 cars.,0,0
RAC-2021-00224,3/13/2021,41692 PARK AVE,Issues Resolved With Verbal Warning,Vacation Rental Parking,"Dark colored truck parked off paved surface, this is a recurring problem.
I have reported this property numerous times for this violation.",0,0
RAC-2021-00982,6/29/2021,41692 PARK AVE,Issues Resolved With Verbal Warning,Vacation Rental Parking,Parking on street,0,0
RAC-2021-00106,2/20/2021,41692 PARK AVE,No Issue,Vacation Rental Parking,Parking on street,0,0
RAC-2021-00981,6/29/2021,41692 PARK AVE,No Issue,Vacation Rental Parking,"2 cars partially parked on unpaved surface,  1 car parked in street",0,0
RAC-2021-01292,7/24/2021,41692 PARK AVE,No Issue,Vacation Rental Parking,Car parked on unpaved surface,0,0
RAC-2021-00018,2/5/2021,41704 PARK AVE,Issues Resolved With Verbal Warning,Vacation Rental Parking,"Vehicle parked in yard, not on driveway",0,0
RAC-2021-01336,7/25/2021,41714 SWITZERLAND DR,Issued Citation,Vacation Rental Noise/Party,NOISE,500,500
RAC-2021-00477,4/24/2021,41728 SWITZERLAND DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,HI VOLUME MUSIC.,0,0
RAC-2021-00074,2/14/2021,41730 BROWNIE LN,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,reporting party stated that they had too many cars were over occupied.,0,0
RAC-2021-00465,4/23/2021,41732 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Address is 41732 Tanager Drive. App won’t let me select 41732! Front end of vehicle is in the street.,0,0
RAC-2021-01365,7/30/2021,41741 SWITZERLAND DR,No Issue,Vacation Rental Parking,5 cars on property. 4 max. Garbage and trash at curb.,0,0
RAC-2021-00554,5/7/2021,41743 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Rental guest parked in yard.,0,0
RAC-2021-00555,5/8/2021,41743 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,hot tub.,0,0
RAC-2021-00557,5/8/2021,41743 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Rental guests parked on street/yard. Guests were told yesterday street/yard parking not allowed at rentals.,0,0
RAC-2021-01356,7/28/2021,41743 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP reports loud music and children playing and screaming in the hot tub.,0,0
RAC-2021-01660,8/28/2021,41743 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,RP STATES CAR PARKED IN DIRT.,0,0
RAC-2021-00738,6/2/2021,41743 TANAGER DR,No Issue,Vacation Rental Parking,"2 cars in driveway - plenty of room for 2 more, but 2 cars parked on dirt.",0,0
RAC-2021-01009,7/3/2021,41743 TANAGER DR,No Issue,Vacation Rental Parking,Guest parking on unpaved surface. Blue car parked in the dirt.,0,0
RAC-2021-01039,7/4/2021,41743 TANAGER DR,No Issue,Vacation Rental Noise/Party,Call came in before working hours a noise complaint at residence that occurred late the previous night 7/3/21.,0,0
RAC-2021-01434,8/6/2021,41743 TANAGER DR,No Issue,Vacation Rental Parking,PARKING ON STREET,0,0
RAC-2021-01476,8/10/2021,41743 TANAGER DR,No Issue,Vacation Rental Parking,"RP states too many cars (5-6 but allowed 4)

RP also states that `this property has been a problem, so the neighborhood has decided to call everything in`.",0,0
RAC-2021-00350,4/3/2021,41743 TANANGER DR,No Issue,Vacation Rental Noise/Party,"Guests are driving too fast up and down the street. One car is extremely loud. No photo, but my RING camera captured 2 videos of them driving too fast.",0,0
RAC-2021-00232,3/15/2021,41748 MOCKINGBIRD DR,Issued Citation,Vacation Rental No Licence,,7500,0
RAC-2021-01010,7/3/2021,41748 MOCKINGBIRD DR,No Issue,Vacation Rental Parking,Rental with guest parking in yard.,0,0
RAC-2021-01158,7/13/2021,41748 MOCKINGBIRD DR,No Issue,Vacation Rental Parking,STR with guest parking on street. Possible self check-in and over # of adult occupancy.,0,0
RAC-2021-00035,2/6/2021,41753 TANAGER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,5 cars - 2 cars in `yard`,0,0
RAC-2021-01138,7/11/2021,41805 BROWNIE LN,No Issue,Vacation Rental Noise/Party,music/yelling,0,0
RAC-2021-00026,2/6/2021,41813 GOLDEN WEST PL,No Issue,Vacation Rental Parking,parked on street,0,0
RAC-2021-00029,2/6/2021,41935 SWITZERLAND,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-00138,2/27/2021,41935 SWITZERLAND,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,recieved a noise complaint at 12:27 am.,0,0
RAC-2021-00164,2/28/2021,41935 SWITZERLAND,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated there was loud music and singing coming from either unit #9 or unit #11.,0,0
RAC-2021-00045,2/7/2021,41935 SWITZERLAND DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Call came in at 4:26 am on 2/7/21.  Noise/party, people on deck smoking and drinking.",0,0
RAC-2021-00204,3/7/2021,41952 EVERGREEN DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,call came I about to many cars on the driveway and possible over occupancy.,0,0
RAC-2021-00021,2/6/2021,420 Athol Lane,No Issue,Vacation Rental No License,Trespassing for snow play on neighbor`s property.,0,0
RAC-2021-00597,5/15/2021,42098 EVERGREEN DR,Issued Citation,Vacation Rental Noise/Party,call came in about the guests out side being noisy before 10 pm.,500,0
RAC-2021-00258,3/20/2021,42098 EVERGREEN DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,received a noise complaint about a loud party at approx. 1:10 am,0,0
RAC-2021-00760,6/5/2021,42098 EVERGREEN DR,No Issue,Vacation Rental Noise/Party,,0,0
RAC-2021-01446,8/7/2021,421 EUREKA DR,No Issue,Vacation Rental Parking,"Truck with trailer attached,  truck protruding into street",0,0
RAC-2021-01171,7/15/2021,421 SANTA CLARA BLVD,Issued Citation,Vacation Rental Noise/Party,noise,500,0
RAC-2021-00913,6/23/2021,42103 SNOWMASS LN,No Issue,Vacation Rental Noise/Party,RP states party going on there. at approximately 10:15 pm.,0,0
RAC-2021-01032,7/4/2021,42109 EVERGREEN DR,Issued Citation,Vacation Rental Noise/Party,call came in about loud music at a private home rental.,500,0
RAC-2021-01092,7/8/2021,42118 SNOWMASS LN,No Issue,Vacation Rental Parking,RP states that on and off all week they have had more cars parked there than are allowed; approx. 7 or 8.,0,0
